market_ticker,timestamp,open,high,low,close,volume,open_interest,label
KXHIGHNY-25APR07-B48.5,2025-04-07 04:00:00,0.38,0.67,0.25,0.67,3654,3060,0
KXHIGHNY-25APR07-B48.5,2025-04-08 04:00:00,0.67,0.8,0.01,0.01,8661,6516,0
KXHIGHNY-25APR07-B46.5,2025-04-07 04:00:00,0.21,0.4,0.01,0.02,3662,1943,0
KXHIGHNY-25APR07-B46.5,2025-04-08 04:00:00,0.02,0.23,0.01,0.01,5166,6324,0
KXHIGHNY-25APR06-T60,2025-04-06 04:00:00,0.1,0.1,0.02,0.02,224,182,0
KXHIGHNY-25APR06-T60,2025-04-07 04:00:00,0.04,0.05,0.01,0.02,323,416,0
KXHIGHNY-25APR06-T53,2025-04-06 04:00:00,0.05,0.13,0.03,0.13,786,696,0
KXHIGHNY-25APR06-T53,2025-04-07 04:00:00,0.1,0.26,0.01,0.01,5374,3098,0
KXHIGHNY-25APR06-B59.5,2025-04-06 04:00:00,0.12,0.26,0.04,0.04,877,564,0
KXHIGHNY-25APR06-B59.5,2025-04-07 04:00:00,0.04,0.06,0.01,0.05,593,849,0
KXHIGHNY-25APR06-B57.5,2025-04-06 04:00:00,0.32,0.46,0.19,0.2,1548,1065,0
KXHIGHNY-25APR06-B57.5,2025-04-07 04:00:00,0.19,0.26,0.01,0.01,4719,2634,0
KXHIGHNY-25APR06-B55.5,2025-04-06 04:00:00,0.36,0.46,0.25,0.36,1056,698,0
KXHIGHNY-25APR06-B55.5,2025-04-07 04:00:00,0.36,0.99,0.21,0.99,9277,3659,1
KXHIGHNY-25APR06-B53.5,2025-04-06 04:00:00,0.1,0.31,0.08,0.31,1101,620,0
KXHIGHNY-25APR06-B53.5,2025-04-07 04:00:00,0.32,0.64,0.01,0.01,5572,2871,0
KXHIGHNY-25APR05-T60,2025-04-05 04:00:00,0.04,0.23,0.03,0.05,9486,2355,0
KXHIGHNY-25APR05-T60,2025-04-06 04:00:00,0.14,0.27,0.01,0.01,3436,4171,0
KXHIGHNY-25APR05-B59.5,2025-04-05 04:00:00,0.12,0.73,0.1,0.63,9595,3414,0
KXHIGHNY-25APR05-B59.5,2025-04-06 04:00:00,0.65,0.99,0.65,0.99,6192,5530,1
KXHIGHNY-25APR05-B57.5,2025-04-05 04:00:00,0.31,0.52,0.21,0.21,5569,3033,0
KXHIGHNY-25APR05-B57.5,2025-04-06 04:00:00,0.25,0.25,0.01,0.01,5424,6445,0
KXHIGHNY-25APR05-B55.5,2025-04-05 04:00:00,0.46,0.46,0.02,0.04,4868,2382,0
KXHIGHNY-25APR05-B55.5,2025-04-06 04:00:00,0.03,0.03,0.01,0.01,2931,5313,0
KXHIGHNY-25APR05-B53.5,2025-04-05 04:00:00,0.17,0.19,0.01,0.01,5523,3969,0
KXHIGHNY-25APR05-B53.5,2025-04-06 04:00:00,0.01,0.01,0.01,0.01,437,4375,0
KXHIGHNY-25APR05-T53,2025-04-05 04:00:00,0.15,0.15,0.01,0.01,5209,4045,0
KXHIGHNY-25APR05-T53,2025-04-06 04:00:00,0.01,0.01,0.01,0.01,3961,8006,0
KXHIGHNY-25APR04-T70,2025-04-04 04:00:00,0.01,0.75,0.01,0.75,6347,4991,0
KXHIGHNY-25APR04-T70,2025-04-05 04:00:00,0.73,0.99,0.73,0.99,30621,32056,1
KXHIGHNY-25APR04-B69.5,2025-04-04 04:00:00,0.13,0.56,0.13,0.38,1825,930,0
KXHIGHNY-25APR04-B69.5,2025-04-05 04:00:00,0.33,0.33,0.01,0.01,16948,17085,0
KXHIGHNY-25APR04-B67.5,2025-04-04 04:00:00,0.34,0.6,0.01,0.01,4052,2498,0
KXHIGHNY-25APR04-B67.5,2025-04-05 04:00:00,0.01,0.01,0.01,0.01,15710,18015,0
KXHIGHNY-25APR04-B65.5,2025-04-04 04:00:00,0.23,0.46,0.01,0.01,3615,3131,0
KXHIGHNY-25APR04-B65.5,2025-04-05 04:00:00,0.01,0.01,0.01,0.01,5904,9000,0
KXHIGHNY-25APR04-T63,2025-04-04 04:00:00,0.01,0.01,0.01,0.01,300,300,0
KXHIGHNY-25APR04-T63,2025-04-05 04:00:00,0.01,0.01,0.01,0.01,467,767,0
KXHIGHNY-25APR04-B63.5,2025-04-04 04:00:00,0.11,0.11,0.01,0.01,735,735,0
KXHIGHNY-25APR04-B63.5,2025-04-05 04:00:00,0.01,0.01,0.01,0.01,6637,7372,0
KXHIGHNY-25APR03-T75,2025-04-03 04:00:00,0.05,0.07,0.03,0.05,829,829,0
KXHIGHNY-25APR03-T75,2025-04-04 04:00:00,0.05,0.07,0.01,0.02,5569,5181,0
KXHIGHNY-25APR03-B74.5,2025-04-03 04:00:00,0.07,0.15,0.05,0.05,2305,2047,0
KXHIGHNY-25APR03-B74.5,2025-04-04 04:00:00,0.11,0.75,0.01,0.3,15967,11268,0
KXHIGHNY-25APR03-B72.5,2025-04-03 04:00:00,0.33,0.38,0.17,0.24,1972,1351,0
KXHIGHNY-25APR03-B72.5,2025-04-04 04:00:00,0.24,0.99,0.1,0.7,21578,10192,0
KXHIGHNY-25APR03-B70.5,2025-04-03 04:00:00,0.43,0.6,0.38,0.45,3810,1939,0
KXHIGHNY-25APR03-B70.5,2025-04-04 04:00:00,0.45,0.55,0.01,0.01,17804,13749,0
KXHIGHNY-25APR03-T68,2025-04-03 04:00:00,0.02,0.09,0.02,0.09,945,945,0
KXHIGHNY-25APR03-T68,2025-04-04 04:00:00,0.03,0.83,0.01,0.01,8601,7007,0
KXHIGHNY-25APR03-B68.5,2025-04-03 04:00:00,0.29,0.29,0.12,0.22,1170,982,0
KXHIGHNY-25APR03-B68.5,2025-04-04 04:00:00,0.2,0.69,0.01,0.01,14419,8603,0
KXHIGHNY-25APR02-T53,2025-04-02 04:00:00,0.05,0.05,0.02,0.04,254,254,0
KXHIGHNY-25APR02-T53,2025-04-03 04:00:00,0.05,0.05,0.01,0.01,4485,4012,0
KXHIGHNY-25APR02-T46,2025-04-02 04:00:00,0.05,0.13,0.05,0.08,1210,778,0
KXHIGHNY-25APR02-T46,2025-04-03 04:00:00,0.03,0.06,0.01,0.01,5186,3601,0
KXHIGHNY-25APR02-B52.5,2025-04-02 04:00:00,0.04,0.06,0.03,0.05,200,200,0
KXHIGHNY-25APR02-B52.5,2025-04-03 04:00:00,0.04,0.09,0.01,0.01,5788,4863,0
KXHIGHNY-25APR02-B50.5,2025-04-02 04:00:00,0.32,0.32,0.19,0.27,1596,1196,0
KXHIGHNY-25APR02-B50.5,2025-04-03 04:00:00,0.28,0.76,0.01,0.02,13386,6832,0
KXHIGHNY-25APR02-B48.5,2025-04-02 04:00:00,0.46,0.46,0.35,0.46,1857,1405,0
KXHIGHNY-25APR02-B48.5,2025-04-03 04:00:00,0.45,0.99,0.18,0.98,28701,17349,1
KXHIGHNY-25APR02-B46.5,2025-04-02 04:00:00,0.28,0.37,0.23,0.23,1102,709,0
KXHIGHNY-25APR02-B46.5,2025-04-03 04:00:00,0.19,0.32,0.01,0.01,44472,40125,0
KXHIGHNY-25APR01-T64,2025-04-01 04:00:00,0.05,0.07,0.02,0.02,664,604,0
KXHIGHNY-25APR01-T64,2025-04-02 04:00:00,0.02,0.02,0.01,0.01,645,1144,0
KXHIGHNY-25APR01-B63.5,2025-04-01 04:00:00,0.13,0.18,0.02,0.02,1749,727,0
KXHIGHNY-25APR01-B63.5,2025-04-02 04:00:00,0.02,0.02,0.01,0.01,763,1390,0
KXHIGHNY-25APR01-B61.5,2025-04-01 04:00:00,0.34,0.43,0.06,0.08,4716,1731,0
KXHIGHNY-25APR01-B61.5,2025-04-02 04:00:00,0.11,0.13,0.01,0.01,4469,4674,0
KXHIGHNY-25APR01-T57,2025-04-01 04:00:00,0.06,0.18,0.04,0.05,5773,4471,0
KXHIGHNY-25APR01-T57,2025-04-02 04:00:00,0.08,0.1,0.01,0.01,60192,61151,0
KXHIGHNY-25APR01-B59.5,2025-04-01 04:00:00,0.44,0.7,0.31,0.7,6361,5382,0
KXHIGHNY-25APR01-B59.5,2025-04-02 04:00:00,0.71,0.77,0.01,0.01,26862,18854,0
KXHIGHNY-25APR01-B57.5,2025-04-01 04:00:00,0.12,0.37,0.1,0.21,5728,4718,0
KXHIGHNY-25APR01-B57.5,2025-04-02 04:00:00,0.27,0.99,0.15,0.99,20826,15336,1
KXHIGHNY-25MAR31-T74,2025-03-31 04:00:00,0.06,0.21,0.05,0.08,3883,3880,0
KXHIGHNY-25MAR31-T74,2025-04-01 04:00:00,0.08,0.29,0.01,0.01,29549,19009,0
KXHIGHNY-25MAR31-B73.5,2025-03-31 04:00:00,0.08,0.17,0.06,0.09,1228,1228,0
KXHIGHNY-25MAR31-B73.5,2025-04-01 04:00:00,0.09,0.99,0.06,0.99,34141,15538,1
KXHIGHNY-25MAR31-B71.5,2025-03-31 04:00:00,0.16,0.3,0.15,0.16,625,588,0
KXHIGHNY-25MAR31-B71.5,2025-04-01 04:00:00,0.15,0.89,0.01,0.01,92585,63306,0
KXHIGHNY-25MAR31-B69.5,2025-03-31 04:00:00,0.38,0.45,0.25,0.26,1038,953,0
KXHIGHNY-25MAR31-B69.5,2025-04-01 04:00:00,0.25,0.49,0.01,0.01,17327,9193,0
KXHIGHNY-25MAR31-B67.5,2025-03-31 04:00:00,0.29,0.45,0.22,0.41,1704,1146,0
KXHIGHNY-25MAR31-B67.5,2025-04-01 04:00:00,0.39,0.42,0.01,0.01,6560,4050,0
KXHIGHNY-25MAR31-T67,2025-03-31 04:00:00,0.06,0.27,0.06,0.1,1913,1659,0
KXHIGHNY-25MAR31-T67,2025-04-01 04:00:00,0.11,0.24,0.01,0.01,7488,6950,0
KXHIGHNY-25MAR30-T60,2025-03-30 04:00:00,0.01,0.02,0.01,0.02,30,30,0
KXHIGHNY-25MAR30-T60,2025-03-31 04:00:00,0.01,0.01,0.01,0.01,695,700,0
KXHIGHNY-25MAR30-T53,2025-03-30 04:00:00,0.15,0.45,0.11,0.4,2810,2331,0
KXHIGHNY-25MAR30-T53,2025-03-31 04:00:00,0.4,0.99,0.21,0.99,28913,15464,1
KXHIGHNY-25MAR30-B59.5,2025-03-30 04:00:00,0.01,0.08,0.01,0.08,345,345,0
KXHIGHNY-25MAR30-B59.5,2025-03-31 04:00:00,0.08,0.12,0.01,0.01,2241,2452,0
KXHIGHNY-25MAR30-B57.5,2025-03-30 04:00:00,0.29,0.29,0.05,0.08,249,249,0
KXHIGHNY-25MAR30-B57.5,2025-03-31 04:00:00,0.07,0.12,0.01,0.01,1895,2009,0
KXHIGHNY-25MAR30-B55.5,2025-03-30 04:00:00,0.23,0.46,0.16,0.21,1015,864,0
KXHIGHNY-25MAR30-B55.5,2025-03-31 04:00:00,0.16,0.3,0.01,0.01,8425,4913,0
KXHIGHNY-25MAR30-B53.5,2025-03-30 04:00:00,0.21,0.45,0.12,0.41,534,412,0
KXHIGHNY-25MAR30-B53.5,2025-03-31 04:00:00,0.39,0.75,0.01,0.01,27781,9315,0
KXHIGHNY-25MAR29-T84,2025-03-29 04:00:00,0.03,0.04,0.03,0.04,63,63,0
KXHIGHNY-25MAR29-T84,2025-03-30 04:00:00,0.04,0.06,0.01,0.01,5359,4892,0
KXHIGHNY-25MAR29-B83.5,2025-03-29 04:00:00,0.17,0.29,0.09,0.1,193,180,0
KXHIGHNY-25MAR29-B83.5,2025-03-30 04:00:00,0.1,0.33,0.01,0.01,15090,7253,0
KXHIGHNY-25MAR29-B81.5,2025-03-29 04:00:00,0.34,0.45,0.21,0.42,327,166,0
